1;de;Wasserrutsche;Eine Rutschpartie in den Swimmingpool – Spaß pur!;Rutsche, Rutschpartie, Pentagliss, Baden, Wasser
1;en;Toboggan aquatique;;
1;fr;Toboggan aquatique;Et hop, une glissade sur le toboggan aquatique de la piscine : amusement garanti !;toboggan, glissade, pentagliss, baignade, aquatique
1;nl;Toboggan aquatique;;
2;de;Swimmingpool;Entspannende Momente am Swimmingpool erleben – beim Spielen, Schwimmen, Springen!;Swimmingpool, Wasserspiele, Baden, Sport, Schwimmen
2;en;Piscine;;
2;fr;Piscine;Rendez-vous au bord de la piscine pour des instants de détente dans l'eau : jouez, nagez, plongez !;piscine, jeu d'eau, baignade, sport, natation
2;nl;Piscine;;
3;de;Hallenbad;Spaß können Sie beim Baden mit der Familie auch bei schlechtem Wetter haben – besuchen Sie das Hallenbad der Campinganlage;Hallenbad, schlechtes Wetter, Spiel, Famille, Baden
3;en;Piscine couverte;;
3;fr;Piscine couverte;A l'abri, profitez de la piscine couverte du camping pour des moments de baignade en famille;piscine couverte, abri, jeu, famille, baignade
3;nl;Piscine couverte;;
4;de;Aquapark;Aquapark, der Wasserspielspaß für die ganze Famille;Wasserpark, Wasserspiele, Swimmingpool, Baden, Famille, Kinder
4;en;Parc aquatique;;
4;fr;Parc aquatique;Un espace aquatique pour profiter des joies des jeux d'eau en famille;espace aquatique, jeux d'eau, piscine, baignade, famille, enfants
4;nl;Parc aquatique;;
5;de;Spa und Wellness;Tanken Sie neue Energie in unserem Wellness-Center;Spa, Massage, Wellness, Entspannung
5;en;Spa, Espace bien-être;;
5;fr;Spa, Espace bien-être;Ressourcez-vous au sein de l'espace bien être;spa, massage, bien être, détente
5;nl;Spa, Espace bien-être;;
