1;de;Frankreich;8:00 - 11:00 Uhr/15:00 - 20:00 Uhr;08.05.2013 - 15.09.2013;Vom 08.05.2013 bis zum 06.07.2013 und vom 31.08.2013 bis zum 15.09.2013 täglich außer dienstags. Vom 06.07.2013 bis zum 31.08.2013 mittwochs und samstags.;Der Campingplatz „Les Amiaux“ liegt inmitten eines sich über 16 ha erstreckenden Parks in Saint Jean de Monts, in nur 700 m Meter Entfernung zu einem feinen Sandstrand, wobei sich die Waldrandlage als idealer Rahmen für Ihre Kinder erweist. Genießen Sie Ihre Abende mit Disko-Tanz, Karaoke oder sonstigen Veranstaltungen.
1;en;France;;;;
1;fr;France;8h-11h/15h-20h;08/05/2013-15/09/2013;Du 08/05/2013 au 06/07/2013 et du 31/08/2013 au 15/09/2013 tous les jours sauf le mardi. Du 06/07/2013 au 31/08/2013 le mercredi et le samedi.;Implanté dans un parc de 16 ha à Saint Jean de Monts, le camping Les Amiaux se trouve à 700 m d'une plage de sable fin. En bordure de forêt, il se révèle un cadre idéal pour vos enfants. Soirées discos, karaokés, spectacles, animeront vos soirées.
1;nl;France;;;;
6;de;Frankreich;8:00 - 11:00 Uhr/15:00 - 20:00 Uhr;06.04.2013 - 15.09.2013;Vom 06.04.2013 bis zum 06.07.2013 und vom 31.08.2013 bis zum 15.09.2013 täglich außer dienstags. Vom 06.07.2013 bis zum 31.08.2013 mittwochs und samstags.;In einer hübschen Grünanlage gelegen und nur 1 Kilometer vom Strand von Bénodet entfernt, bietet der Campingplatz „Yelloh Village Port de Plaisance“ alles, um Ihren Urlaub so gesellig wie möglich zu gestalten: eine wunderschöne Badelandschaft mit überdachtem Becken für Groß und Klein, anspruchsvolle Serviceleistungen und eine Auswahl an Animationen.
6;en;France;;;;
6;fr;France;8h-11h/15h-20h;06/04/2013-15/09/2013;Du 06/04/2013 au 06/07/2013 et du 31/08/2013 au 15/09/2013 tous les jours sauf le mardi. Du 06/07/2013 au 31/08/2013 le mercredi et le samedi.;"""Situé dans un écrin de verdure à 1 km de la plage de Bénodet, le camping """"Yelloh Village Port de Plaisance"""" met tout en oeuvre pour que votre séjour soit des plus conviviaux : un très bel espace aquatique avec son bassin couvert qui ravira petits et grands, des services de qualité et des animations variées."""
6;nl;France;;;;
7;de;Frankreich;8:00 - 11:00 Uhr/15:00 - 20:00 Uhr;01.05.2013 - 15.09.2013;Vom 01.05.2013 bis zum 06.07.2013 und vom 31.08.2013 bis zum 15.09.2013 täglich außer dienstags. Vom 06.07.2013 bis zum 31.08.2013 mittwochs und samstags.;Nur 35 km südlich von Clermont-Ferrand gelegen, ruht der Campingplatz „Sunelia La Ribeyre“ über 10 ha im Naturpark Volcans d'Auvergne. Zahlreiche Fußwanderwege lassen Sie direkt vom Campingplatz aus diese zauberhafte Region entdecken. „La Ribeyre“ bietet Ihnen angenehme Stellplätze und verschiedenste Sportaktivitäten.
7;en;France;;;;
7;fr;France;8h-11h/15h-20h;01/05/2013-15/09/2013;Du 01/05/2013 au 06/07/2013 et du 31/08/2013 au 15/09/2013 tous les jours sauf le mardi. Du 06/07/2013 au 31/08/2013 le mercredi et le samedi.;À 35 km au sud de Clermont-Ferrand, le camping Sunelia La Ribeyre est au coeur du parc des Volcans d'Auvergne. De nombreux sentiers de randonnée pédestre partent du camping et vous permettront de découvrir agréablement cette magnifique région. Sur 10 ha, La Ribeyre vous propose des emplacements agréables, des activités sportives complètes.
7;nl;France;;;;
8;de;Frankreich;8:00 - 11:00 Uhr/15:00 - 20:00 Uhr;25.05.2013 - 08.09.2013;Vom 25.05.2013 bis zum 06.07.2013 und vom 31.08.2013 bis zum 08.09.2013 täglich außer dienstags. Vom 06.07.2013 bis zum 31.08.2013 mittwochs und samstags.;Der Campingplatz „Le Roussillonnais“ in Argelès, dem Badeort im Roussillon, bietet Ihnen einen direkten Zugang zum Meer mit feinem Sandstrand und türkisfarbenem Wasser, das sich vom Grün der im Hintergrund liegenden Pyrenäen abhebt. Da kann man gut und gern auf den Swimmingpool verzichten.
8;en;France;;;;
8;fr;France;8h-11h/15h-20h;25/05/2013-08/09/2013;Du 25/05/2013 au 06/07/2013 et du 31/08/2013 au 08/09/2013 tous les jours sauf le mardi. Du 06/07/2013 au 31/08/2013 le mercredi et le samedi.;Le camping Le Roussillonnais situé à Argelès, station balnéaire du Roussillon, offre un accès direct à la mer, ce qui fait oublier aisément l'absence de piscine. Vous profiterez d'une plage de sable fin avec une eau turquoise, ayant pour toile de fond le vert des montagnes pyrénéennes.
8;nl;France;;;;
9;de;Frankreich;8:00 - 11:00 Uhr/15:00 - 20:00 Uhr;27.04.2013 - 14.09.2013;Vom 27.04.2013 bis zum 06.07.2013 und vom 31.08.2013 bis zum 14.09.2013 täglich außer dienstags. Vom 06.07.2013 bis zum 31.08.2013 mittwochs und samstags.;„Les Sables de Cordouan“ und „L'Estanquet“ sind zwei nur 200 m voneinander entfernt liegende Partner-Campingplätze in der Gemeinde La Palmyre-Les Mathes. Sie residieren auf dem Campingplatz „Les Sables de Cordouan“ und können 200 m weiter auf der anderen Straßenseite von der Infrastruktur und der Badelandschaft des Campingplatzes „L'Estanquet“ profitieren.
9;en;France;;;;
9;fr;France;8h-11h/15h-20h;27/04/2013-14/09/2013;Du 27/04/2013 au 06/07/2013 et du 31/08/2013 au 14/09/2013 tous les jours sauf le mardi. Du 06/07/2013 au 31/08/2013 le mercredi et le samedi.;Les Sables de Cordouan - L'Estanquet sont deux campings partenaires, situés à 200 m l'un de l'autre sur la commune de la Palmyre-Les Mathes. Vous séjournerez au camping Les Sables de Cordouan et n'aurez que 200 m à faire et la route à traverser pour profiter des infrastructures et de l'espace aquatique du camping L'Estanquet.
9;nl;France;;;;
10;de;Frankreich;8:00 - 11:00 Uhr/15:00 - 20:00 Uhr;01.06.2013 - 15.09.2013;Vom 01.06.2013 bis zum 06.07.2013 und vom 31.08.2013 bis zum 15.09.2013 täglich außer dienstags. Vom 06.07.2013 bis zum 31.08.2013 mittwochs und samstags.;Zwischen Parklandschaft und Meer gelegen, lädt der Campingplatz „Azu'Rivage“ Sie zu einem entspannten Urlaub in Azur ein, nicht weit von Teich und Wald in Soustons und keine 10 Kilometer vom Strand entfernt. Das Schwimmbecken des Campingplatzes und die Sportaktivitäten ganz in der Nähe sind das i-Tüpfelchen Ihrer Ferien!
10;en;France;;;;
