S34N;1;de;Aufenthalte von 3/4 Nächte in der Hochsaison erlaubt;Genießen Sie einen Kurzaufenthalt auch im Juli oder August!;Kurzaufenthalt, Juli, August, günstig, Hochsaison;1
WIFI;2;de;WLAN;Dieser Campingplatz bietet einen WLAN-Zugang;WLAN, Internet, Anschluss;1
ANIM;3;de;Hunde erlaubt;Auf diesem Campingplatz ist Ihr Hund herzlich willkommen;Hund, bester Freund des Menschen;1
DEPA;4;de;Kleiner Supermarkt;;;1
LOVP;5;de;Fahrradverleih;Entdecken Sie die ungewöhnlichsten Landschaften mit dem Fahrrad … und genießen Sie einen tollen sportlichen Urlaub!;Fahrräder, Moutainbike, Trekkingbike, Fahrradwege, Wandern;1
TVBA;6;de;Bar mit TV;;;1
NAVG;7;de;Shuttlebus zum Strand (gratis);Nutzen Sie den kostenlosen Shuttlebus zum Strand;Shuttlebus, Strand, Bus, Auto;1
NAVP;8;de;Shuttlebus zum Strand (gegen Gebühr);Nutzen Sie den Shuttlebus zum Strand;Shuttlebus, Strand, Bus, Auto;1
BAR;9;de;Bar;Schlürfen Sie Ihren Cocktail zusammen mit Freunden oder Familie;Bar, Cocktail, etwas trinken, Freunde, Aperitif;1
SNAC;10;de;Snack-Bar;Heute Abend bleibt die Küche kalt, und die ganze Familie trifft sich an der Snack-Bar;Snack-Bar, Schnellrestaurant, Speisen zum Mitnehmen, Hamburger, Pommes Frites;1
WIFP;11;de;.;;;1
RAE;12;de;Speisen zum Mitnehmen;Kümmern Sie sich doch mal um nichts, und nutzen Sie unsere Speisen zum Mitnehmen und unser Schnellrestaurant;Restaurant, Snack-Bar, Speisen zum Mitnehmen, kleines Restaurant;1
REST;13;de;Restaurant;Restaurant gefällig? Genießen Sie ein ruhiges Mittagessen oder ein animiertes Abendessen in unserem Camping-Restaurant;Restaurant, Mahlzeit, Formel, Abendessen, Mittagessen, Souper, Frühstück;1
