1;de;Neuheiten 2013;;
1;en;Nouveautés 2013;;
1;fr;Nouveautés 2013;;
1;nl;Nouveautés 2013;;
2;de;Aquapark;;
2;en;Parcs aquatiques;;
2;fr;Parcs aquatiques;;
2;nl;Parcs aquatiques;;
3;de;Direkt am Wasser;;
3;en;Pieds dans l'eau;;
3;fr;Pieds dans l'eau;;
3;nl;Pieds dans l'eau;;
4;de;Faulenzurlaub;Strecken Sie im Urlaub einmal alle Viere von sich, und entspannen und faulenzen Sie nach Lust und Laune;Entspannung, Faulenzen, Ausruhen
4;en;Vacances farniente;;
4;fr;Vacances farniente;Des vacances les doigts de pieds en éventail : détente, farniente et repos seront au rendez vous;détente, farniente, repos, relax
4;nl;Vacances farniente;;
5;de;Cluburlaub;Ihr Cluburlaub mit schönen Animationen und Momenten, die Sie mit Anderen teilen können;Club, Animation, Halbpension, Beisammensein, Gruppe
5;en;Vacances club;;
5;fr;Vacances club;Des vacancespour un esprit club où animations et convivialité seront au rendez-vous;club, animation, demi pension, convivialité, groupe
5;nl;Vacances club;;
6;de;Sensationsurlaub;Sie lieben den Nervenkitzel? Dann sind die Wildwassersportarten genau das Richtige für Ihren Abenteuerurlaub;Nervenkitzel, Extremsport, Originalität, Urlaub mal anders
6;en;Vacances sensations;;
6;fr;Vacances sensations;Amateurs de sensations fortes, profitez des sports en eaux vives pour des vacances rythmées;sensation fortes, sport extrême, originalité, vacances autrement
6;nl;Vacances sensations;;
7;de;Entdeckungsurlaub;Entdeckungen, Museen, Natur und Besichtungen … alles, was einen Entdeckungsurlaub ausmacht;Entdeckung, Besichtigung, Museen, Natur
7;en;Vacances découverte;;
7;fr;Vacances découverte;Découverte, musées, paysages et visites, autant d'atouts pour des vacances placées sous le signe de la découverte;découverte, visites, musées, paysages
7;nl;Vacances découverte;;
