"100M";"1";"de";"Parcelle jusqu'à 100 m²";"parcelle-jusqu-a-100-m";"Avec Sanitaires";;;;;;;;;;;;;;;"1"
"110M";"2";"de";"Parcelle de 101 à 110 m²";"parcelle-de-101-a-110-m";"Avec Sanitaires";;;;;;;;;;;;;;;"1"
"130M";"3";"de";"Parcelle de 121 à 130 m²";"parcelle-de-121-a-130-m";"Avec Sanitaires";;;;;;;;;;;;;;;"1"
"140M";"4";"de";"Parcelle de 131 à 140 m²";"parcelle-de-131-a-140-m";"Avec Sanitaires";;;;;;;;;;;;;;;"1"
"150M";"5";"de";"Parcelle de 141 à 150 m²";"parcelle-de-141-a-150-m";"Avec Sanitaires";;;;;;;;;;;;;;;"1"
"160M";"6";"de";"Parcelle de 151 à 160 m²";"parcelle-de-151-a-160-m";"Avec Sanitaires";;;;;;;;;;;;;;;"1"
"170M";"7";"de";"Parcelle de 161 à 170 m²";"parcelle-de-161-a-170-m";"Avec Sanitaires";;;;;;;;;;;;;;;"1"
"180M";"8";"de";"Parcelle de 171 à 180 m²";"parcelle-de-171-a-180-m";"Avec Sanitaires";;;;;;;;;;;;;;;"1"
"AMI4";"9";"de";"Amical (4 Personen, max. 3 Erwachsene)";"amical-4-personen-max-3-erwachsene";"Mit 2 Zimmern";;;;;"Sie suchen Geselligkeit und möchten sich gleichzeitig entspannen? Vacances directes bietet Ihnen das Mobilhome Amical für 4 Personen an. Hier können Sie neue Energie in einer intimen, angenehmen Atmosphäre tanken ... und sie in freundschaftlicher Erinnerung behalten!";"Empfohlen für 4 Personen: 2 Erwachsene + 2 Kinder, inkl. Baby
Wir akzeptieren maximal 3 Erwachsene (ab 14 Jahren) + 1 Kind, inkl. Baby";"Größe: 18 m²
6 x 3 m (LxB)";"1 Schlafzimmer mit 140 x 190 cm großem Bett mit Lattenrost
1 Schlafzimmer mit 2 Stockbetten (80 x 190 cm) mit Lattenrost. Auf bestimmten Campinganlagen sind Einzelbetten vorgesehen
Wohn-/Esszimmer: Kochnische mit Spülbecken, Warmwasserboiler, 4 Gas-Kochplatten, Kühlschrank, Essecke, 1 Tisch und 2 Stühle, Sitz- oder Eckbank. Keine Mikrowelle
Badezimmer mit Dusche und Waschbecken, WC separat";"Innen: Elektroheizung, 2 Gasflaschen
Außen: Beleuchtung, Sonnenschirm (nicht für den Strand geeignet), Gartenmöbel
Elektrizität: 6 Ampere
Parkplatz: In der Regel neben dem Mobilhome (1 Auto pro Mobilhome)";"7-12 Jahre (0-7 Jahre: les Oyats, Petit Bois (Cantal), Palavas Camping, Saint-Louis)";"Die Aufteilung kann je nach Campingplatz variieren. Nicht alle Mobilhomes sind mit einer Terrasse ausgestattet";"Kein Platz für ein Babybett";"Auf dem Campingplatz „Palavas Camping“ ist das Mobilhome 27 m² mit Strohdach ausgestattet – maximal 4 Erwachsene.";;"1"
"BT2L";"10";"de";"Bungalow T2 Luxe (4 Personen, max. 4 Erwachsene)";"bungalow-t2-luxe-4-personen-max-4-erwachsene";"Mit sanitären Einrichtungen";;;;;;;;;;;;;;;"1"
"BT3";"11";"de";"Bungalow T3 (6 Personen, max. 6 Erwachsene)";"bungalow-t3-6-personen-max-6-erwachsene";"Mit sanitären Einrichtungen";;;;;;;;;;;;;;;"1"
"CANA";"12";"de";"Zelt Canada";"zelt-canada";"Mit 2 Zimmern";;;;;"Das geräumige und einladende Zelt Canada kombiniert Originalität und Schlichtheit. Genießen Sie Ihren Urlaub inmitten der Natur.";"5 Personen";"Größe: 20 m²";"1 Schlafzimmer mit 140 x 190 cm großem Bett                                                 1 Schlafzimmer mit 1 Stockbett (70 x 180 cm) und 2 Einzelbetten von je 70 x 180 cm (das Stockbett ist nicht für Kinder unter 6 Jahren und Personen mit mehr als 30 kg geeignet)                                                        Wohn-/Esszimmer: Kochnische, Gas, Kühlschrank                                   Terrasse";"Innen: 1 Gasflasche
Außen: Beleuchtung, Gartenmöbel
Elektrizität: 6 Ampere
Parkplatz: In der Regel neben dem Zelt (1 Auto pro Zelt)";"0-7 Jahre";;"Unterkunft ohne Wasser, Heizung und sanitäre Einrichtungen";;;"1"
"CH46";"13";"de";"Hütte (4-6 Personen)";"hutte-4-6-personen";"Mit integrierter und überdachter Terrasse";;;;;"Ein idealer Ort inmitten einer zauberhaften Landschaft, um zu zweit oder zusammen mit der Famille mit der Natur anzuknüpfen.";"Empfohlen für 6 Personen: 2 Erwachsene + 4 Kinder                      Wir akzeptieren 6 Erwachsene";"Größe: 28m²";"1 Schlafzimmer mit 120 x 190 cm großem Bett                                                  1 Schlafzimmer mit 2 Einzelbetten von je 70 x 190 cm                                            Ess-/Wohnbereich: Kochnische, Badezimmer mit WC, Wohnzimmer mit Schlafcouch.";"Innen: Elektroheizung, 2 Gasflaschen
Außen: Beleuchtung, Gartenmöbel
Elektrizität: 6 Ampere
Parkplatz: In der Regel neben dem Chalet (1 Auto pro Chalet)";"0-7 Jahre";"Die Aufteilung kann je nach Campingplatz variieren.";;;;"1"
"CHA5";"14";"de";"Hütte (5 Personen, max. 4 Erwachsene)";"hutte-5-personen-max-4-erwachsene";"Mit integrierter und überdachter Terrasse";;;;;"Ferien einmal ganz anders – dieses Chalet, im Schatten der Bäume gelegen, bietet allen Komfort aus Holz. Zwei Zimmer und eine Terrasse sorgen für ideale und unvergessliche Ferien …";"Empfohlen für 5 Personen: 2 Erwachsene (ab 14 Jahren) + 3 Kinder, inkl. Baby
Wir akzeptieren maximal 4 Erwachsene (ab 14 Jahren) + 1 Kind, inkl. Baby";"Größe: 28 m²
5,95 x  4,80 m (LxB)";"1 Schlafzimmer mit 140 x 190 cm großem Bett mit Lattenrost
1 Schlafzimmer mit 2 Einzelbetten von 80 x 190 cm mit Lattenrost und 1 Stockbett (nicht für Kinder unter 6 Jahren geeignet) von 80 x 200 cm auf dem Campingplatz „Le Petit Mousse“
Wohn-/Esszimmer: Kochnische mit Spülbecken, Warmwasserboiler, Elektro-Kochplatten, Kühlschrank, Essecke, 1 Tisch und 2 Stühle, Sitz- oder Eckbank, die als Schlafcouch verstellt werden kann (Campingplatz „Le Mas“). Keine Mikrowelle.
Badezimmer mit Dusche und Waschbecken, WC separat";"Innen: Elektroheizung, 2 Gasflaschen
Außen: Beleuchtung, Gartenmöbel
Elektrizität: 6 Ampere
Parkplatz: In der Regel neben dem Chalet (1 Auto pro Chalet)";"Ab 12 Jahren";"Die Aufteilung kann je nach Campingplatz variieren.";;;;"1"
"CHA6";"15";"de";"Hütte (6 Personen)";"hutte-6-personen";"Mit integrierter und überdachter Terrasse";;;;;;;;;;;;;;;"1"
"CON5";"16";"de";"Conviviale (5 Personen, max. 4 Erwachsene)";"conviviale-5-personen-max-4-erwachsene";"Mit sanitären Einrichtungen";;;;;"Der Caravan Conviviale ist die ideale Unterkunft für den Urlaub mit der ganzen Familie. Er ist für 5 Personen vorgesehen und mit einem Vordach und sanitären Einrichtungen ausgestattet. Sie werden jeden Tag aufs Neue die Freude am Wohnen im Freien genießen, in aller Freiheit und Einfachheit ...";"Empfohlen für 5 Personen: 2 Erwachsene (ab 14 Jahren) + 3 Kinder, inkl. Baby
Wir akzeptieren maximal 4 Erwachsene (ab 14 Jahren) + 1 Kind, inkl. Baby";"Größe: Conviviale 13 m² + Vordach 12 m²
5,40 x 4,80 m (LxB)";"1 Schlafzimmer mit 140 x 190 cm großem Bett mit Lattenrost, Schrank
1 Schlafzimmer mit 2 Stockbetten von 70 x 180 cm mit Lattenrost, Essecke, die als Schlafcouch (80 x 180 cm) verstellt werden kann.
Badezimmer mit Waschbecken, Dusche, WC
Unter dem Vordach: Küche mit Kühlschrank, 2 Kochplatten mit 2 Gasflaschen, Schrank (120 x 150 cm), Spülbecken mit Wasseranschluss, Gartenmöbel";"Elektrizität: 220 V sowie Steckdosen
Parkplatz: In der Regel neben dem Caravan (1 Auto pro Caravan)";"Ab 12 Jahren";"Die Aufteilung kann je nach Campingplatz variieren.";"Unterkunft mit sanitären Einrichtungen, ohne Heizung";;;"1"
"COR4";"17";"de";"Cordial (4 Personen)";"cordial-4-personen";"Mit sanitären Einrichtungen";;;;;"In diesem gut durchdachten Mobilhome verbringen Sie einen gemütlichen und erholsamen Urlaub.";"4 Personen";"Größe: 25 m²";"1 Schlafzimmer mit 140 x 190 cm großem Bett
1 Schlafzimmer mit 2 Einzelbetten von 80 x 180 cm
Wohn-/Esszimmer: Kochnische mit Spülbecken, Warmwasserboiler, Kochplatten, Mikrowelle, Kühlschrank, Essecke
Badezimmer mit Waschbecken, Dusche und WC";"Innen: Elektroheizung, 2 Gasflaschen
Außen: Beleuchtung, Gartenmöbel
Elektrizität: 6 Ampere
Parkplatz: In der Regel neben dem Mobilhome (1 Auto pro Mobilhome)";"0-7 Jahre";"Die Aufteilung kann je nach Campingplatz variieren.";;;;"1"
